Gen_ID	DateMean	Locality	Pol_En	Mt_hapgrp
Ne30_genotyping_noUDG	-7946	Nepal, Kathmandu	China	D4m
Ne61_genotyping_noUDG	-1471	Nepal, Kathmandu	China	D4b1a2a
Ne35_genotyping_noUDG	-7040	Nepal, Kathmandu	China	R11
I13833	1625	Barç (Southeast, Korça Basin)	Albania	X2e1
I3931	-5908	Aknashen	Armenia	I1
I3930	-5585	Masis Blur	Armenia	K
I13559	1200	South Andros, Sanctuary Blue Hole	Bahamas	B2e
I24542_d	-2775	Mayahak Cab Pek	Belize	C1c
I19493_in.preparation	-800	Kapitan Andreevo (South)	Bulgaria	K1a4a1
CAO009013	621	Matanzas City, Canimar Abajo	Cuba	D1
I16326	-675	NW Bohemia, Louny, Stradonice	Czech Republic	H7
I8122	800	El Soco	Dominican Republic	A2z
I14200	-2378	England, Wiltshire, Amesbury Down	United Kingdom	K1b1a
I2446	-2265	England, Oxfordshire, Yarnton	United Kingdom	K1b1a1
I19043_old	-250	England, Hampshire, Winnall Down	United Kingdom	J1c1
I3587	-2225	Bavaria, Alburg-Lerchenhaid, Spedition Häring, Stkr. Straubing	Germany	H1e1a
I13433	-1250	Kastrouli (Desfina, Phokis, near Delphi)	Greece	U3b1
I13531	-1250	Kastrouli (Desfina, Phokis, near Delphi)	Greece	U3b
I13580	-1219	Kastrouli (Desfina, Phokis, near Delphi)	Greece	K2b
I7527	-7950	Ganj Dareh	Iran	U7a
I6441_d	-1350	Nemrik 9	Iraq	HV1a'b'c
I6445	-8750	Nemrik 9	Iraq	J1d
I6441	-1350	Nemrik 9	Iraq	HV1a'b'c
I2189	-1550	Megiddo, Jezreel Valley	Israel	U3b
I1072_enhanced_d	-10750	Raqefet Cave	Israel	N1b
I1072	-10750	Raqefet Cave	Israel	N1b
I1415_enhanced	-7877	'Ain Ghazal	Jordan	T1a2
I1701_enhanced	-7650	'Ain Ghazal	Jordan	K1a18
I1707	-7619	'Ain Ghazal	Jordan	R0a
I1710	-7615	'Ain Ghazal	Jordan	T1a2
I1704	-7209	'Ain Ghazal	Jordan	T
I1727	-8100	'Ain Ghazal	Jordan	T1a2
I1415	-7877	'Ain Ghazal	Jordan	T1a2
I1701	-7650	'Ain Ghazal	Jordan	K
I1699	-6750	'Ain Ghazal	Jordan	R0a2
I1708	-6750	'Ain Ghazal	Jordan	R0a2
I1679	-6850	'Ain Ghazal	Jordan	R
I4427	-4059	Fingira	Malawi	L0d1b2b
I4427_noUDG	-4059	Fingira	Malawi	L0d1b2b
I13778	-1284	Velika Gruda	Montenegro	H1
I0231	-2894	Samara Oblast, Volga River Valley, Southern Steppe, Ekaterinovka	Russia	U4a1
I1525	255	Uelen Chukotka, Bering Strait	Russia	A2a
I0726	-6000	Menteşe (Northwest Anatolia, Marmara, Yenişehir)	Turkey	H
I1099	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	T2
I1100	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	K
I1102	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	K1a3a
I1103	-6350	Barcın (Northwest Anatolia, Marmara)	Turkey	K1b1b1
I0725	-6000	Menteşe (Northwest Anatolia, Marmara, Yenişehir)	Turkey	N1a1a
I1926	-3699	Verteba Cave	Ukraine	H5a
I5870	-5413	Volniensky, Vilnianka	Ukraine	U4b1b1
I3719	-4881	Kirovograd Oblast, Dereivka village	Ukraine	H1
I3716	-5397	Volniensky, Vilnianka	Ukraine	U5b2
I5872	-5424	Volniensky, Vilnianka	Ukraine	U5a2
Darra.I.Kur_noUDG_d	-2516	Darra-i-Kur Cave	Afghanistan	H2a
I14688	-500	Çinamak (Norteastern, Kukes District)	Albania	T2b
I14690	-1050	Çinamak (Norteastern, Kukes District)	Albania	T1a4
I14692	-950	Çinamak (Norteastern, Kukes District)	Albania	H1a
I16251	-550	Çinamak (Norteastern, Kukes District)	Albania	H1u2
I16254	-500	Çinamak (Norteastern, Kukes District)	Albania	T2b23
I16256	-550	Çinamak (Norteastern, Kukes District) 	Albania	H
I14689	-2555	Çinamak (Norteastern, Kukes District)	Albania	H102
I15705	-6146	Podgorie (Southeast, Korça Basin)	Albania	N1a1a1
I16253	-476	Çinamak (Norteastern, Kukes District)	Albania	H
I13835	1704	Barç (Southeast, Korça Basin) 	Albania	U3b1
I13838	-4250	Tren cave (Southeast , Devoll area)	Albania	HV4
I13840	-4152	Tren Cave (Southeast , Devoll area) 	Albania	J1c
I8471	-1795	Shkrel	Albania	H1h1
I13839	936	Shtikë (Southeastern, Kolonja Plateau) 	Albania	U4c1
I14622	829	Kënetë (Norteastern, Kukes District)	Albania	H11a
I14685	1550	Bardhoc (Norteastern, Kukes District)	Albania	H7c1
I15706	1630	Pazhok (Central)	Albania	H5'36
I14686	1550	Bardhoc (Northeastern, Kukes District)	Albania	U5a1a2a
I14687	1550	Bardhoc (Norteastern, Kukes District)	Albania	T1a1l
I15707	1551	Bardhoc (Northeastern, Kukes District), 	Albania	J1c
AltaiNeanderthal.DG	-108500	Denisova Cave, Altai	Russia	Neanderthal
AltaiNeanderthal_snpAD.DG	-108500	Denisova Cave, Altai	Russia	Neanderthal
Aconcagua_noUDG.SG	1450	Cerro Aconcagua, Mendoza Province	Argentina	C1bi
I7090	-5212	Arroyo Seco II	Argentina	C1c
I1748	-5212	Arroyo Seco II	Argentina	C1c
I7088	-5478	Arroyo Seco II	Argentina	A2
I0308	-5478	Arroyo Seco II	Argentina	A2
I0309	-5702	Arroyo Seco II	Argentina	D1
I2230	-6624	Arroyo Seco II	Argentina	C1b
I2232	-6423	Arroyo Seco II	Argentina	C1b
I7086	-5808	Arroyo Seco II	Argentina	D1g
I12941	1790	Beagle Channel, Tierra del Fuego, Almanza	Argentina	C1b
I12942	1890	Beagle Channel, Tierra del Fuego, Acatushún	Argentina	C1b
I12943	1770	Beagle Channel, Tierra del Fuego, Almanza	Argentina	C1b
Yaghan890_noUDG.SG	1850	Beagle Channel, Tierra del Fuego	Argentina	D4h3a
Yaghan894_noUDG.SG	1850	Beagle Channel, Tierra del Fuego	Argentina	D4h3a
Yaghan895_noUDG.SG	1850	Beagle Channel, Tierra del Fuego	Argentina	C1b
I12355	460	Beagle Channel, Tierra del Fuego, Río Pipo	Argentina	C1b
I8351	320	Pampas, Laguna Chica	Argentina	D1g
I8348	-4925	Pampas, Laguna Chica	Argentina	R
I8349	-4765	Pampas, Laguna Chica	Argentina	C1b
I8350	-5750	Pampas, Laguna Chica	Argentina	A2
I12376	-383	Southwest of Buenos Aires, Laguna Toro	Argentina	A2
I12356	1670	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	D1
I12357	1620	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	D1g
I12358	1510	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	C
I12359	1360	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	C1b
I12360	1550	Tierra del Fuego, Mitre Peninusula, Caleta Falsa	Argentina	D1g
I12361	1530	Tierra del Fuego, Mitre Peninusula, Río Policarpo	Argentina	D1g
MA572_noUDG.SG	1850	Tierra del Fuego, Strait of Magellan	Argentina	D4h3a
MA575_noUDG.SG	1850	Tierra del Fuego, Strait of Magellan	Argentina	C1b
MA577_noUDG.SG	1850	Tierra del Fuego, Strait of Magellan	Argentina	D1g5
I12362	-3870	Tierra del Fuego (North), La Arcillosa 2	Argentina	C
I12354	1500	Tierra del Fuego (North), Río Grande	Argentina	D1g
