Gen_ID	DateMean	Locality	Pol_En	Y_hapgrp
Ne30_genotyping_noUDG	-7946	Nepal, Kathmandu	China	C
I14200	-2378	England, Wiltshire, Amesbury Down	United Kingdom	R1b1a1b1a1a
Aconcagua_noUDG.SG	1450	Cerro Aconcagua, Mendoza Province	Argentina	Q-M3
I1407	-3925	Areni 1	Armenia	L1a
ARM003	-3213	South Caucasus mountains, Kaps	Armenia	G2b
I1635	-2526	Kalavan	Armenia	R1b1x
ARM002	-3213	South Caucasus mountains, Kaps	Armenia	G2b
I6913	-5416	Brunn Wolfholz	Austria	CT
I6912_noUDG	-5138	Brunn Wolfholz	Austria	BT
ALX002	-3710	Jalilabad district, Uchtepe village, Alkhantepe	Azerbaijan 	G1
PCV003	1067	Eleuthera, Bahamian Island, Preacher's Cave	Bahamas	Q1b1a
GoyetQ116-1_noUDG	-33258	Troisieme caverne of Goyet cave	Belgium	C1a
XAR001	850	Xaro	Botswana	E1b1a1a1c1a
XAR002	850	Xaro	Botswana	E1b1b1b2b
I10871	-5963	Shum Laka	Cameroon	A00
I10872	-5870	Shum Laka	Cameroon	B
I10873	-1147	Shum Laka	Cameroon	B2b
I10871_noUDG	-5963	Shum Laka	Cameroon	A00
I10872_noUDG	-5870	Shum Laka	Cameroon	B
I10873_noUDG	-1147	Shum Laka	Cameroon	B2b
I10872_alt	-5870	Shum Laka	Cameroon	B
I10871_noUDG.DG	-5963	Shum Laka	Cameroon	A00
I10871_noUDG.SG	-5963	Shum Laka	Cameroon	A00
I10873.SG	-1147	Shum Laka	Cameroon	B2b
gun002_noUDG.SG	1099	Tenerife	Canary Islands	E1b1b1b1a1
gun011_noUDG.SG	813	Tenerife	Canary Islands	E1b1b1b1a1
gun012_noUDG.SG	626	Tenerife	Canary Islands	E1b1b1b1a1
I16429	-2985	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	I2
I16438	-2434	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	I2a1b1a2b2
I16444	-4098	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	I2a1a2
I16427	-4107	Channel Islands, Guernsey, Vale, Le Déhus	Channel Islands	I2a1a2
NE45_noUDG	-7291	Amur River Basin	China	P
NE34_noUDG	-12571	Amur River Basin	China	C
NE5_noUDG	-12224	Amur River Basin	China	C
NE56_noUDG	-17477	Amur River Basin	China	C2
NE3_noUDG	-8678	Amur River Basin	China	C
NE4_noUDG	-8607	Amur River Basin	China	C
NE8_noUDG	-9313	Amur River Basin	China	DE
NE19_noUDG	-5089	Amur River Basin	China	C
NE2_noUDG	-4371	Amur River Basin	China	C
NE22_noUDG	-4888	Amur River Basin	China	C
NE39_noUDG	-6246	Amur River Basin	China	C
